지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최고 기온 시각,강수 계속시간,10분 최다강수량,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최다 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사 시각,1시간 최다 일사량,합계 일사량,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
159,부산,1990-01-01,3.8,-1.0,0200,11.3,1435,,,,,0.32,0.0,9.0,290,0840,6.5,290,0850,3.1,2665,20,-4.7,47,1455,53.8,4.4,1012.8,1023.8,0028,1019.3,1420,1021.6,9.8,6.0,1200,1.66,6.87,,,,,,2.3,2.1,3.4,-6.9,3.5,3.8,4.2,5.3,7.1,11.0,14.0,17.2,17.5,,1.6,0.0,{눈}0846-{눈}{강도0}09000-0905.,
159,부산,1990-01-02,2.1,-0.3,0740,6.0,1420,,,,,,,13.8,20,0845,7.0,20,0849,3.8,3254,20,-6.1,41,1630,56.0,3.9,1013.0,1023.3,1018,1020.6,1508,1021.9,9.8,8.0,1100,1.77,8.93,,,,,,1.8,0.4,2.7,-4.5,3.3,4.2,4.6,5.4,7.2,10.9,13.8,17.2,17.5,,1.9,,,
159,부산,1990-01-03,-0.2,-3.5,0610,4.4,1535,,,,,,,18.6,360,2040,7.5,360,1948,3.5,3016,50,-10.1,34,1950,48.5,2.9,1013.4,1024.3,2350,1020.5,1400,1022.3,9.9,8.9,1100,1.87,10.5,,,,,,0.0,0.0,1.2,-7.6,2.3,3.1,4.0,5.2,7.0,10.7,13.8,17.2,17.5,,2.2,,,
159,부산,1990-01-04,0.9,-3.4,0530,6.2,1530,,,,,,,18.0,360,0543,11.0,360,0540,5.8,5038,360,-13.6,22,1410,34.3,2.2,1015.4,1025.9,1010,1022.8,1420,1024.4,9.9,9.0,1200,1.87,10.85,,,,,,0.0,0.0,1.5,-7.0,2.2,2.9,3.5,4.8,6.5,10.5,13.6,17.1,17.5,,2.7,,,
159,부산,1990-01-05,4.4,0.0,0742,10.1,1518,,,,,,,13.5,270,1351,7.7,290,1650,4.8,4128,290,-2.8,40,0000,60.3,5.2,1014.2,1025.6,0844,1019.0,2400,1023.0,9.9,7.5,1100,1.54,8.27,,,,,,2.0,1.4,3.8,-5.0,3.5,3.6,3.8,4.7,6.4,10.3,13.5,17.0,17.5,,1.7,,,
159,부산,1990-01-06,3.8,-0.6,2400,7.2,0000,,,,,,,17.0,360,1037,8.7,320,0430,3.9,3372,320,-8.6,21,1730,41.5,3.5,1014.8,1029.6,2400,1018.4,0437,1023.5,9.9,8.9,1100,1.88,10.73,,,,,,1.3,1.1,3.8,-6.3,4.4,4.9,4.8,5.3,6.4,10.2,13.4,17.0,17.5,,2.4,,,
159,부산,1990-01-07,2.3,-2.6,0605,10.1,1450,,,,,,,9.8,360,0440,6.5,360,0445,1.9,1639,340,-8.6,34,1115,46.0,3.5,1022.2,1032.7,1010,1029.3,0135,1031.2,9.9,8.9,1200,1.85,10.6,,,,,,0.0,0.0,2.6,-9.0,3.3,3.8,4.1,5.2,6.4,10.0,13.1,16.9,17.4,,1.6,,,
159,부산,1990-01-08,6.7,1.6,0558,13.8,1402,,,,,,,5.5,140,1607,3.3,140,1610,1.7,1458,70,2.0,51,1348,73.0,7.1,1021.1,1031.9,0000,1027.5,2233,1029.9,9.9,3.6,1200,1.48,5.81,,,,,,6.3,4.1,4.6,-4.8,4.4,4.5,4.4,5.1,6.3,10.0,13.0,16.8,17.4,0.7,0.9,0.0,{박무}0730-{박무}{강도0}0900-1130.,
159,부산,1990-01-09,10.7,7.6,0430,14.5,1235,1.1,2120,2.7,2110,6.2,4.4,5.1,90,1055,3.0,70,0050,1.6,1402,70,7.9,72,1225,82.5,10.8,1013.1,1027.5,0000,1013.4,2400,1021.8,9.9,1.1,1000,0.85,2.67,,,,,,9.0,6.9,7.9,2.0,7.5,7.2,6.3,6.1,6.5,10.0,13.0,16.8,17.4,0.4,0.6,10.8,{비}0742-0824.  {비}0930-1010.  {비}1425-{비}{강도0}1500-1545.  {비}2030-{비}{강도0}2100-{비}{강도0}2400-  {박무}2030-{박무}{강도0}2100-{박무}{강도0}2400-,
159,부산,1990-01-10,10.7,5.6,2400,14.0,0515,1.9,230,3.9,150,2.83,6.4,23.7,290,0712,13.3,290,0712,5.7,4933,360,4.8,45,1620,68.5,9.1,1004.1,1022.6,2400,1007.0,0625,1012.6,10.0,8.2,1100,1.87,10.05,,,,,,5.5,3.5,9.6,2.8,9.3,9.2,8.2,7.7,7.2,9.7,12.9,16.8,17.4,1.5,2.2,,-{비}-0250.  -{박무}-0245.,
