stn,tm,stnNm
90,1968-01-01,속초
93,2016-10-01,북춘천
95,1988-01-01,철원
98,1998-02-01,동두천
99,2001-12-07,파주
100,1971-07-15,대관령
101,1966-01-01,춘천
102,2000-11-01,백령도
104,2008-07-28,북강릉
105,1911-10-03,강릉
106,1992-05-01,동해
108,1907-10-01,서울
112,1904-08-29,인천
114,1971-09-06,원주
115,1938-08-10,울릉도
119,1964-01-01,수원
121,1994-12-01,영월
127,1972-01-01,충주
129,1968-01-01,서산
130,1971-01-12,울진
131,1967-01-01,청주
133,1969-01-01,대전
135,1937-01-11,추풍령
136,1973-01-01,안동
137,2002-01-01,상주
138,1943-01-01,포항
140,1968-01-01,군산
143,1907-01-31,대구
146,1918-06-23,전주
152,1932-01-06,울산
155,1985-07-01,창원
156,1939-05-01,광주
159,1904-04-09,부산
162,1968-01-01,통영
165,1904-04-08,목포
168,1942-03-01,여수
169,1997-01-01,흑산도
170,1971-01-31,완도
172,2010-12-01,고창
174,2011-04-01,순천
177,2015-11-03,홍성
181,2022-01-21,서청주
184,1923-05-01,제주
185,1988-01-01,고산
188,1971-07-15,성산
189,1961-01-01,서귀포
192,1969-03-01,진주
201,1972-01-11,강화
202,1972-01-11,양평
203,1972-01-11,이천
211,1971-12-01,인제
212,1971-09-27,홍천
216,1985-08-01,태백
217,2010-08-06,정선군
221,1972-01-11,제천
226,1972-01-09,보은
232,1972-01-08,천안
235,1972-01-24,보령
236,1972-01-09,부여
238,1972-01-09,금산
239,2019-05-31,세종
243,1972-03-01,부안
244,1970-06-02,임실
245,1970-01-05,정읍
247,1972-01-04,남원
248,1988-01-01,장수
251,2007-11-01,고창군
252,2007-11-26,영광군
253,2008-02-13,김해시
254,2008-07-16,순창군
255,2008-12-26,북창원
257,2008-12-26,양산시
258,2010-02-08,보성군
259,2009-11-10,강진군
260,1972-01-21,장흥
261,1971-02-03,해남
262,1972-01-22,고흥
263,2010-06-21,의령군
264,2010-06-21,함양군
266,2011-01-01,광양시
268,2014-05-09,진도군
271,1988-01-01,봉화
272,1972-11-28,영주
273,1973-01-01,문경
276,2010-09-01,청송군
277,1972-01-03,영덕
278,1973-01-01,의성
279,1973-01-01,구미
281,1972-01-21,영천
283,2010-08-06,경주시
284,1972-01-24,거창
285,1973-01-01,합천
288,1973-01-01,밀양
289,1972-03-30,산청
294,1972-01-24,거제
295,1972-01-24,남해
296,2023-01-11,북부산
